0.000,0.000,0.000,-2.000,0.000,0.000,0.000,0.000
0.020,0.057,0.046,-1.971,2.875,2.298,1.437,0.674
0.040,0.114,0.091,-1.943,2.846,2.265,1.423,0.672
0.060,0.171,0.136,-1.915,2.814,2.220,1.407,0.668
0.080,0.226,0.179,-1.887,2.778,2.163,1.389,0.662
0.100,0.281,0.221,-1.859,2.739,2.096,1.369,0.653
0.120,0.335,0.261,-1.833,2.697,2.018,1.348,0.642
0.140,0.388,0.300,-1.806,2.652,1.932,1.326,0.630
0.160,0.440,0.337,-1.780,2.605,1.837,1.302,0.614
0.180,0.491,0.371,-1.754,2.555,1.735,1.278,0.597
0.200,0.541,0.404,-1.729,2.503,1.627,1.252,0.576
0.220,0.591,0.434,-1.705,2.466,1.523,1.233,0.553
0.240,0.639,0.463,-1.680,2.428,1.414,1.214,0.527
0.260,0.687,0.489,-1.657,2.388,1.297,1.194,0.498
0.280,0.734,0.512,-1.633,2.345,1.174,1.172,0.464
0.300,0.780,0.533,-1.610,2.299,1.045,1.149,0.427
0.320,0.825,0.551,-1.588,2.249,0.911,1.125,0.385
0.340,0.869,0.567,-1.566,2.197,0.772,1.099,0.338
0.360,0.912,0.579,-1.544,2.143,0.629,1.071,0.286
0.380,0.953,0.589,-1.523,2.085,0.483,1.043,0.228
0.400,0.994,0.596,-1.503,2.025,0.335,1.013,0.164
0.420,1.033,0.599,-1.483,1.963,0.185,0.981,0.094
0.440,1.071,0.600,-1.465,1.898,0.034,0.949,0.018
0.460,1.108,0.598,-1.446,1.830,-0.117,0.915,-0.064
0.480,1.143,0.592,-1.429,1.760,-0.268,0.880,-0.151
0.500,1.177,0.584,-1.412,1.688,-0.417,0.844,-0.242
0.520,1.209,0.573,-1.396,1.614,-0.564,0.807,-0.336
0.540,1.240,0.558,-1.380,1.538,-0.708,0.769,-0.432
0.560,1.269,0.541,-1.366,1.460,-0.849,0.730,-0.527
0.580,1.296,0.522,-1.352,1.380,-0.985,0.690,-0.620
0.600,1.322,0.499,-1.339,1.298,-1.117,0.649,-0.710
0.620,1.347,0.475,-1.327,1.215,-1.243,0.607,-0.797
0.640,1.369,0.447,-1.315,1.130,-1.362,0.565,-0.878
0.660,1.390,0.418,-1.305,1.044,-1.475,0.522,-0.955
0.680,1.409,0.386,-1.295,0.956,-1.580,0.478,-1.027
0.700,1.427,0.353,-1.287,0.867,-1.677,0.434,-1.094
0.720,1.442,0.317,-1.279,0.778,-1.766,0.389,-1.156
0.740,1.456,0.280,-1.272,0.687,-1.846,0.343,-1.215
0.760,1.468,0.242,-1.266,0.595,-1.917,0.297,-1.270
0.780,1.478,0.202,-1.261,0.502,-1.978,0.251,-1.322
0.800,1.486,0.162,-1.257,0.409,-2.029,0.205,-1.372
0.820,1.492,0.121,-1.254,0.316,-2.070,0.158,-1.419
0.840,1.497,0.079,-1.252,0.222,-2.100,0.111,-1.466
0.860,1.499,0.036,-1.250,0.127,-2.120,0.064,-1.511
0.880,1.500,-0.006,-1.250,0.033,-2.129,0.016,-1.555
0.900,1.499,-0.049,-1.251,-0.062,-2.127,-0.031,-1.600
0.920,1.496,-0.091,-1.252,-0.156,-2.115,-0.078,-1.644
0.940,1.491,-0.133,-1.255,-0.250,-2.092,-0.125,-1.690
0.960,1.484,-0.174,-1.258,-0.344,-2.058,-0.172,-1.736
0.980,1.475,-0.215,-1.263,-0.438,-2.014,-0.219,-1.785
1.000,1.464,-0.254,-1.268,-0.531,-1.960,-0.265,-1.835
1.020,1.452,-0.292,-1.274,-0.623,-1.896,-0.311,-1.888
1.040,1.438,-0.328,-1.281,-0.714,-1.823,-0.357,-1.944
1.060,1.422,-0.363,-1.289,-0.805,-1.740,-0.402,-2.004
1.080,1.404,-0.396,-1.298,-0.894,-1.649,-0.447,-2.068
1.100,1.384,-0.427,-1.308,-0.983,-1.549,-0.491,-2.136
1.120,1.363,-0.456,-1.319,-1.070,-1.441,-0.535,-2.209
1.140,1.339,-0.482,-1.330,-1.156,-1.327,-0.578,-2.288
1.160,1.315,-0.506,-1.343,-1.240,-1.205,-0.620,-2.371
1.180,1.288,-0.528,-1.356,-1.323,-1.078,-0.662,-2.458
1.200,1.260,-0.547,-1.370,-1.404,-0.945,-0.702,-2.550
1.220,1.230,-0.563,-1.385,-1.484,-0.807,-0.742,-2.644
1.240,1.199,-0.576,-1.400,-1.561,-0.665,-0.781,-2.739
1.260,1.166,-0.587,-1.417,-1.637,-0.520,-0.818,-2.834
1.280,1.132,-0.594,-1.434,-1.710,-0.372,-0.855,-2.927
1.300,1.097,-0.599,-1.452,-1.782,-0.222,-0.891,-3.018
1.320,1.057,-0.600,-1.472,-2.002,-0.071,-1.001,-3.106
1.340,1.015,-0.598,-1.492,-2.079,0.106,-1.040,3.091
1.360,0.972,-0.592,-1.514,-2.154,0.281,-1.077,3.012
1.380,0.927,-0.583,-1.536,-2.225,0.455,-1.113,2.940
1.400,0.882,-0.571,-1.559,-2.294,0.627,-1.147,2.875
1.420,0.834,-0.555,-1.583,-2.358,0.794,-1.179,2.817
1.440,0.786,-0.536,-1.607,-2.420,0.957,-1.210,2.765
1.460,0.736,-0.513,-1.632,-2.477,1.115,-1.239,2.719
1.480,0.686,-0.488,-1.657,-2.532,1.266,-1.266,2.678
1.500,0.634,-0.460,-1.683,-2.582,1.409,-1.291,2.642
1.520,0.582,-0.429,-1.709,-2.629,1.544,-1.314,2.610
1.540,0.528,-0.395,-1.736,-2.671,1.670,-1.336,2.583
1.560,0.474,-0.360,-1.763,-2.710,1.786,-1.355,2.559
1.580,0.419,-0.322,-1.790,-2.745,1.892,-1.372,2.538
1.600,0.364,-0.282,-1.818,-2.776,1.987,-1.388,2.520
1.620,0.308,-0.241,-1.846,-2.802,2.070,-1.401,2.505
1.640,0.251,-0.198,-1.874,-2.825,2.140,-1.413,2.493
1.660,0.194,-0.154,-1.903,-2.843,2.199,-1.422,2.483
1.680,0.137,-0.109,-1.932,-2.858,2.244,-1.429,2.476
1.700,0.080,-0.064,-1.960,-2.868,2.276,-1.434,2.471
1.720,0.022,-0.018,-1.989,-2.874,2.295,-1.437,2.468
1.740,-0.035,0.028,-2.018,-2.875,2.300,-1.438,2.467
1.760,-0.092,0.074,-2.046,-2.858,2.279,-1.429,2.468
1.780,-0.149,0.119,-2.075,-2.827,2.239,-1.413,2.472
1.800,-0.205,0.162,-2.102,-2.792,2.186,-1.396,2.477
1.820,-0.260,0.205,-2.130,-2.754,2.123,-1.377,2.485
1.840,-0.314,0.246,-2.157,-2.713,2.049,-1.357,2.495
1.860,-0.368,0.285,-2.184,-2.670,1.966,-1.335,2.507
1.880,-0.420,0.323,-2.210,-2.623,1.875,-1.312,2.521
1.900,-0.472,0.358,-2.236,-2.574,1.776,-1.287,2.538
