0.000,0.000,1.500,-1.000,0.000,75.000,-50.000,1.571
0.020,0.019,1.500,-1.010,0.942,-0.006,-0.500,-0.006
0.040,0.038,1.500,-1.020,0.942,-0.018,-0.500,-0.019
0.060,0.057,1.499,-1.030,0.942,-0.030,-0.500,-0.031
0.080,0.075,1.498,-1.040,0.942,-0.041,-0.500,-0.044
0.100,0.094,1.497,-1.050,0.941,-0.053,-0.500,-0.057
0.120,0.113,1.496,-1.060,0.940,-0.065,-0.500,-0.069
0.140,0.132,1.494,-1.070,0.939,-0.077,-0.500,-0.082
0.160,0.151,1.492,-1.080,0.938,-0.089,-0.500,-0.094
0.180,0.169,1.490,-1.090,0.937,-0.100,-0.500,-0.107
0.200,0.188,1.488,-1.100,0.936,-0.112,-0.500,-0.119
0.220,0.207,1.486,-1.110,0.934,-0.124,-0.500,-0.132
0.240,0.225,1.483,-1.120,0.933,-0.136,-0.500,-0.145
0.260,0.244,1.480,-1.130,0.931,-0.147,-0.500,-0.157
0.280,0.263,1.477,-1.140,0.929,-0.159,-0.500,-0.170
0.300,0.281,1.473,-1.150,0.927,-0.171,-0.500,-0.182
0.320,0.300,1.470,-1.160,0.925,-0.182,-0.500,-0.195
0.340,0.318,1.466,-1.170,0.922,-0.194,-0.500,-0.207
0.360,0.336,1.462,-1.180,0.920,-0.206,-0.500,-0.220
0.380,0.355,1.457,-1.190,0.917,-0.217,-0.500,-0.232
0.400,0.373,1.453,-1.200,0.914,-0.229,-0.500,-0.245
0.420,0.391,1.448,-1.210,0.911,-0.240,-0.500,-0.258
0.440,0.409,1.443,-1.220,0.908,-0.252,-0.500,-0.270
0.460,0.428,1.438,-1.230,0.905,-0.263,-0.500,-0.283
0.480,0.446,1.432,-1.240,0.902,-0.274,-0.500,-0.295
0.500,0.464,1.427,-1.250,0.898,-0.286,-0.500,-0.308
0.520,0.481,1.421,-1.260,0.894,-0.297,-0.500,-0.320
0.540,0.499,1.414,-1.270,0.891,-0.308,-0.500,-0.333
0.560,0.517,1.408,-1.280,0.887,-0.319,-0.500,-0.346
0.580,0.535,1.401,-1.290,0.883,-0.330,-0.500,-0.358
0.600,0.552,1.395,-1.300,0.878,-0.341,-0.500,-0.371
0.620,0.570,1.388,-1.310,0.874,-0.352,-0.500,-0.383
0.640,0.587,1.380,-1.320,0.870,-0.363,-0.500,-0.396
0.660,0.604,1.373,-1.330,0.865,-0.374,-0.500,-0.408
0.680,0.622,1.365,-1.340,0.860,-0.385,-0.500,-0.421
0.700,0.639,1.357,-1.350,0.855,-0.396,-0.500,-0.434
0.720,0.656,1.349,-1.360,0.850,-0.407,-0.500,-0.446
0.740,0.673,1.341,-1.370,0.845,-0.417,-0.500,-0.459
0.760,0.689,1.332,-1.380,0.840,-0.428,-0.500,-0.471
0.780,0.706,1.323,-1.390,0.834,-0.438,-0.500,-0.484
0.800,0.723,1.314,-1.400,0.829,-0.449,-0.500,-0.496
0.820,0.739,1.305,-1.410,0.823,-0.459,-0.500,-0.509
0.840,0.755,1.296,-1.420,0.817,-0.470,-0.500,-0.522
0.860,0.772,1.286,-1.430,0.811,-0.480,-0.500,-0.534
0.880,0.788,1.276,-1.440,0.805,-0.490,-0.500,-0.547
0.900,0.804,1.266,-1.450,0.799,-0.500,-0.500,-0.559
0.920,0.820,1.256,-1.460,0.793,-0.510,-0.500,-0.572
0.940,0.835,1.246,-1.470,0.786,-0.520,-0.500,-0.584
0.960,0.851,1.235,-1.480,0.779,-0.530,-0.500,-0.597
0.980,0.866,1.225,-1.490,0.773,-0.540,-0.500,-0.609
1.000,0.882,1.214,-1.500,0.766,-0.549,-0.500,-0.622
1.020,0.897,1.202,-1.510,0.759,-0.559,-0.500,-0.635
1.040,0.912,1.191,-1.520,0.752,-0.568,-0.500,-0.647
1.060,0.927,1.179,-1.530,0.745,-0.578,-0.500,-0.660
1.080,0.942,1.168,-1.540,0.737,-0.587,-0.500,-0.672
1.100,0.956,1.156,-1.550,0.730,-0.596,-0.500,-0.685
1.120,0.971,1.144,-1.560,0.722,-0.605,-0.500,-0.697
1.140,0.985,1.131,-1.570,0.715,-0.614,-0.500,-0.710
1.160,0.999,1.119,-1.580,0.707,-0.623,-0.500,-0.723
1.180,1.013,1.106,-1.590,0.699,-0.632,-0.500,-0.735
1.200,1.027,1.093,-1.600,0.691,-0.641,-0.500,-0.748
1.220,1.040,1.080,-1.610,0.683,-0.649,-0.500,-0.760
1.240,1.054,1.067,-1.620,0.675,-0.658,-0.500,-0.773
1.260,1.067,1.054,-1.630,0.666,-0.666,-0.500,-0.785
1.280,1.080,1.040,-1.640,0.658,-0.675,-0.500,-0.798
1.300,1.093,1.027,-1.650,0.649,-0.683,-0.500,-0.811
1.320,1.106,1.013,-1.660,0.641,-0.691,-0.500,-0.823
1.340,1.119,0.999,-1.670,0.632,-0.699,-0.500,-0.836
1.360,1.131,0.985,-1.680,0.623,-0.707,-0.500,-0.848
1.380,1.144,0.971,-1.690,0.614,-0.715,-0.500,-0.861
1.400,1.156,0.956,-1.700,0.605,-0.722,-0.500,-0.873
1.420,1.168,0.942,-1.710,0.596,-0.730,-0.500,-0.886
1.440,1.179,0.927,-1.720,0.587,-0.737,-0.500,-0.898
1.460,1.191,0.912,-1.730,0.578,-0.745,-0.500,-0.911
1.480,1.202,0.897,-1.740,0.568,-0.752,-0.500,-0.924
1.500,1.214,0.882,-1.750,0.559,-0.759,-0.500,-0.936
1.520,1.225,0.866,-1.760,0.549,-0.766,-0.500,-0.949
